Date,PinbarTypes,Open,High,Low,Close,PinbarLevel,MatchingLags,MatchingDates,MatchingPriorLows
2007-06-08,current+next,658.5,659.5999755859375,645.2000122070312,654.2999877929688,654.0847896118164,20,2007-05-10,651.0000
2007-06-11,previous+current,658.5,659.5999755859375,645.2000122070312,654.2999877929688,654.0847896118164,21,2007-05-10,651.0000
2007-08-17,previous+current,665.2000122070312,665.2000122070312,642.9000244140625,656.9000244140625,656.6591168823243,31,2007-07-05,648.4000
2008-06-12,"single,current+next,doji+next-confirmation",873.5999755859375,873.5999755859375,858.2000122070312,869.2000122070312,867.7017896118164,20,2008-05-14,862.8000
2008-06-13,previous+current,873.5999755859375,873.5999755859375,858.2000122070312,870.2999877929688,867.7017896118164,21,2008-05-14,862.8000
2011-01-25,single,1330.4000244140625,1331.5,1323.5999755859375,1332.300048828125,1328.4742906494141,56,2010-11-03,1327.5000
2011-09-26,current+next,1646.4000244140625,1665.4000244140625,1562.4000244140625,1650.5999755859375,1625.9510244140624,39,2011-08-01,1607.0000
2013-05-17,current+next,1386.699951171875,1391.0999755859375,1342.9000244140625,1384.300048828125,1372.6393942871093,21,2013-04-18,1347.5000
2015-07-02,current+next,1166.4000244140625,1173.0,1155.5,1172.9000244140625,1166.2975,19,2015-06-05,1164.0000
2015-07-06,previous+current,1166.4000244140625,1173.0,1155.5,1172.9000244140625,1166.2975,20,2015-06-05,1164.0000
2017-10-05,current+next,1277.800048828125,1277.800048828125,1260.5,1271.5999755859375,1271.174130126953,36,2017-08-15,1267.4000
2017-10-06,"single,previous+current,doji+next-confirmation",1267.5999755859375,1277.800048828125,1260.5,1271.5999755859375,1267.5955,37,2017-08-15,1267.4000
2018-02-08,single,1317.0999755859375,1321.0999755859375,1307.0,1316.9000244140625,1315.6996849365235,20,2018-01-09,1309.6000
2018-09-27,current+next,1194.5999755859375,1197.300048828125,1180.0,1191.5,1190.674130126953,17,2018-09-04,1189.9000
2018-09-28,previous+current,1194.5999755859375,1197.300048828125,1180.0,1191.5,1190.674130126953,18,2018-09-04,1189.9000
2019-04-03,current+next,1291.4000244140625,1293.0999755859375,1279.5,1289.0,1287.8911849365234,19,2019-03-07,1281.0000
2019-04-04,"single,previous+current,current+next",1290.5999755859375,1293.0999755859375,1279.5,1289.0,1287.5826849365235,20,2019-03-07,1281.0000
2019-04-05,previous+current,1290.5999755859375,1292.5999755859375,1279.5,1290.4000244140625,1287.5826849365235,21,2019-03-07,1281.0000
2020-06-05,current+next,1711.800048828125,1711.800048828125,1668.5999755859375,1698.300048828125,1695.2544207763672,21,2020-05-06,1684.2000
2021-12-02,current+next,1780.9000244140625,1785.0999755859375,1760.5999755859375,1782.0,1775.7164755859376,20,2021-11-03,1761.8000
2021-12-03,previous+current,1780.9000244140625,1785.0999755859375,1760.5999755859375,1782.0,1775.7164755859376,21,2021-11-03,1761.8000
2026-02-03,previous+current,4807.7001953125,4984.60009765625,4400.0,4903.7001953125,4760.6982602539065,17,2026-01-08,4418.0000
2026-03-23,"single,current+next,doji+next-confirmation",4353.0,4480.39990234375,4100.7998046875,4404.10009765625,4335.013064941406,55,2025-12-31,4285.0000
2026-03-24,previous+current,4353.0,4480.39990234375,4100.7998046875,4399.2998046875,4335.013064941406,56,2025-12-31,4285.0000
2026-04-29,current+next,4598.60009765625,4636.7001953125,4515.7001953125,4614.7001953125,4590.3571953125,18,2026-04-02,4558.8999
2026-04-30,previous+current,4598.60009765625,4636.7001953125,4515.7001953125,4614.7001953125,4590.3571953125,19,2026-04-02,4558.8999
