SignalDate,Strategy,Direction,EntryDate,Entry,Stop,Target,Risk,ExitDate,Exit,Result,R,BarsHeld,ReturnPct,CumulativeR,CumulativeReturnPct,EquityCompounded,CompoundedReturnPct
2007-06-08,normal,long,2007-06-08,654.2999877929688,645.2000122070312,663.3999633789062,9.0999755859375,2007-06-13,645.2000122070312,loss,-1.0,3,-1.0,-1.0,-1.0,0.99,-1.0000000000000009
2007-06-11,normal,long,2007-06-11,654.2999877929688,645.2000122070312,663.3999633789062,9.0999755859375,2007-06-13,645.2000122070312,loss,-1.0,2,-1.0,-2.0,-2.0,0.9801,-1.9900000000000029
2007-08-17,normal,long,2007-08-17,656.9000244140625,642.9000244140625,670.9000244140625,14.0,2007-08-31,670.9000244140625,win,1.0,10,1.0,-1.0,-1.0,0.989901,-1.009899999999997
2008-06-12,normal,long,2008-06-12,869.2000122070312,858.2000122070312,880.2000122070312,11.0,2008-06-16,880.2000122070312,win,1.0,2,1.0,0.0,0.0,0.9998000100000001,-0.019998999999992773
2008-06-13,normal,long,2008-06-13,870.2999877929688,858.2000122070312,882.3999633789062,12.0999755859375,2008-06-16,882.3999633789062,win,1.0,1,1.0,1.0,1.0,1.0097980101000001,0.9798010100000143
2010-06-08,reverse,short,2010-06-08,1244.0,1252.0999755859375,1235.9000244140625,8.0999755859375,2010-06-09,1235.9000244140625,win,1.0,1,1.0,2.0,2.0,1.019895990201,1.989599020100008
2010-12-06,reverse,short,2010-12-06,1415.300048828125,1428.4000244140625,1402.2000732421875,13.0999755859375,2010-12-07,1428.4000244140625,loss,-1.0,1,-1.0,1.0,1.0,1.00969703029899,0.969703029899005
2011-01-25,normal,long,2011-01-25,1332.300048828125,1323.5999755859375,1341.0001220703125,8.7000732421875,2011-01-26,1341.0001220703125,win,1.0,1,1.0,2.0,2.0,1.0197940006019799,1.9794000601979889
2011-02-16,reverse,short,2011-02-16,1374.699951171875,1382.0,1367.39990234375,7.300048828125,2011-02-17,1382.0,loss,-1.0,1,-1.0,1.0,1.0,1.0095960605959602,0.9596060595960187
2011-09-26,normal,long,2011-09-26,1650.5999755859375,1562.4000244140625,1738.7999267578125,88.199951171875,2011-10-28,1738.7999267578125,win,1.0,24,1.0,2.0,2.0,1.0196920212019198,1.9692021201919818
2012-07-30,reverse,short,2012-07-30,1619.699951171875,1625.800048828125,1613.599853515625,6.10009765625,2012-07-31,1625.800048828125,loss,-1.0,1,-1.0,1.0,1.0,1.0094951009899007,0.9495100989900696
2013-05-17,normal,long,2013-05-17,1384.300048828125,1342.9000244140625,1425.7000732421875,41.4000244140625,2013-05-20,1342.9000244140625,loss,-1.0,1,-1.0,0.0,0.0,0.9994001499800017,-0.05998500199982937
2013-08-28,reverse,short,2013-08-28,1419.0,1428.0,1410.0,9.0,2013-08-29,1410.0,win,1.0,1,1.0,1.0,1.0,1.0093941514798017,0.9394151479801716
2015-07-02,normal,long,2015-07-02,1172.9000244140625,1155.5,1190.300048828125,17.4000244140625,2015-07-07,1155.5,loss,-1.0,2,-1.0,0.0,0.0,0.9993002099650037,-0.06997900349963171
2015-07-06,normal,long,2015-07-06,1172.9000244140625,1155.5,1190.300048828125,17.4000244140625,2015-07-07,1155.5,loss,-1.0,1,-1.0,-1.0,-1.0,0.9893072078653536,-1.0692792134646356
2015-08-21,reverse,short,2015-08-21,1153.4000244140625,1169.0,1137.800048828125,15.5999755859375,2015-08-24,1169.0,loss,-1.0,1,-1.0,-2.0,-2.0,0.9794141357867001,-2.0585864213299887
2015-08-24,reverse,short,2015-08-24,1153.4000244140625,1169.0,1137.800048828125,15.5999755859375,2015-08-25,1137.800048828125,win,1.0,1,1.0,-1.0,-1.0,0.9892082771445672,-1.079172285543284
2017-01-05,reverse,short,2017-01-05,1171.9000244140625,1183.300048828125,1160.5,11.4000244140625,2017-01-09,1183.300048828125,loss,-1.0,2,-1.0,-2.0,-2.0,0.9793161943731215,-2.068380562687855
