SignalDate,Side,Direction,SignalType,PatternTypes,MatchingLags,MatchingDates,MatchingPriorPrices,Entry,Stop,Target,Risk,ExitDate,Exit,Result,R,BarsHeld,ReturnPct,CumulativeR,CumulativeReturnPct,EquityCompounded,CompoundedReturnPct
2015-07-02,normal/buy,long,single pinbar,single,19,2015-06-05,1162.6300,1165.63,1155.98,1175.2800000000002,9.650000000000091,2015-07-07,1155.98,loss,-1.0,3,-1.0,-1.0,-1.0,0.99,-1.0000000000000009
2016-03-24,normal/buy,long,double pinbar,current+next,19,2016-02-26,1211.3900,1221.34,1208.15,1234.5299999999997,13.189999999999827,2016-03-28,1208.15,loss,-1.0,1,-1.0,-2.0,-2.0,0.9801,-1.9900000000000029
2016-03-28,normal/buy,long,double pinbar,previous+current,20,2016-02-26,1211.3900,1221.34,1208.15,1234.5299999999997,13.189999999999827,2016-03-29,1234.5299999999997,win,1.0,1,1.0,-1.0,-1.0,0.989901,-1.009899999999997
2016-06-15,reverse/sell,short,double pinbar,current+next,32,2016-05-02,1303.6500,1278.75,1315.54,1241.96,36.789999999999964,2016-06-16,1315.54,loss,-1.0,1,-1.0,-2.0,-2.0,0.98000199,-1.999801000000001
2016-06-16,reverse/sell,short,double pinbar,previous+current,33,2016-05-02,1303.6500,1278.75,1315.54,1241.96,36.789999999999964,2016-06-24,1315.54,loss,-1.0,6,-1.0,-3.0,-3.0,0.9702019701,-2.9798029900000023
2018-02-28,normal/buy,long,double pinbar,current+next,39,2018-01-04,1305.7000,1317.16,1302.76,1331.5600000000002,14.400000000000091,2018-03-01,1302.76,loss,-1.0,1,-1.0,-4.0,-4.0,0.9604999503989999,-3.9500049601000065
2021-01-11,normal/buy,long,single pinbar,single,18,2020-12-14,1818.3400,1844.45,1817.0,1871.9,27.450000000000045,2021-01-18,1817.0,loss,-1.0,5,-1.0,-5.0,-5.0,0.95089495089501,-4.910504910499003
2021-06-14,normal/buy,long,single pinbar,single,18,2021-05-19,1852.2300,1866.31,1844.77,1887.85,21.539999999999964,2021-06-16,1844.77,loss,-1.0,2,-1.0,-6.0,-6.0,0.9413860013860599,-5.861399861394013
2021-12-27,reverse/sell,short,double pinbar,current+next,20,2021-11-26,1815.5500,1806.13,1820.18,1792.0800000000002,14.049999999999955,2021-12-28,1820.18,loss,-1.0,1,-1.0,-7.0,-7.000000000000001,0.9319721413721993,-6.80278586278007
2021-12-28,reverse/sell,short,double pinbar,previous+current,21,2021-11-26,1815.5500,1806.13,1820.18,1792.0800000000002,14.049999999999955,2021-12-29,1792.0800000000002,win,1.0,1,1.0,-6.0,-6.0,0.9412918627859213,-5.870813721407875
