Date,PinbarTypes,Open,High,Low,Close,PinbarLevel,MatchingLags,MatchingDates,MatchingPriorLows
2015-07-02,"single,current+next,doji+next-confirmation",1168.35,1170.18,1155.98,1165.63,1164.32801,19,2015-06-05,1162.6300
2015-07-03,previous+current,1168.35,1170.18,1155.98,1168.58,1164.7414,20,2015-06-05,1162.6300
2016-03-24,current+next,1222.61,1223.71,1208.15,1221.34,1217.75052,19,2016-02-26,1211.3900
2016-03-28,previous+current,1222.61,1223.71,1208.15,1221.34,1217.75052,20,2016-02-26,1211.3900
2017-10-05,current+next,1274.97,1278.92,1260.54,1276.17,1271.88046,37,2017-08-15,1267.2300
2017-10-06,previous+current,1274.97,1278.92,1260.54,1276.17,1271.88046,38,2017-08-15,1267.2300
2018-02-08,single,1317.34,1322.02,1307.04,1318.34,1316.28266,21,2018-01-10,1307.9600
2018-02-28,current+next,1318.39,1322.49,1302.76,1317.16,1314.93341,39,2018-01-04,1305.7000
2021-01-11,"single,current+next,doji+next-confirmation",1854.74,1863.8,1817.0,1844.45,1840.8100299999999,18,2020-12-14,1818.3400
2021-01-12,previous+current,1854.74,1863.8,1817.0,1855.31,1845.8756,19,2020-12-14,1818.3400
2021-02-19,doji+next-confirmation,1776.46,1791.63,1760.64,1783.05,1779.7608300000002,57,2020-11-30,1764.3800
2021-06-14,single,1876.07,1877.62,1844.77,1866.31,1865.03845,18,2021-05-19,1852.2300
