Date,PatternTypes,Open,High,Low,Close,ReversePinbarLevel,MatchingLags,MatchingDates,MatchingPriorHighs
2014-07-01,single,1326.64,1332.26,1323.69,1325.71,1326.97231,55,2014-04-14,1331.0400
2014-10-15,reverse-doji+next-confirmation,1232.34,1249.51,1221.7,1241.85,1232.35123,21,2014-09-16,1241.8900
2015-08-21,reverse-doji+next-confirmation,1153.8,1168.16,1148.91,1160.54,1156.28275,31,2015-07-09,1167.6900
2016-06-15,current+next,1284.83,1315.54,1277.97,1278.75,1292.35931,32,2016-05-02,1303.6500
2016-06-16,previous+current,1284.83,1315.54,1277.97,1278.75,1292.35931,33,2016-05-02,1303.6500
2017-11-17,current+next,1278.52,1296.77,1274.46,1276.65,1283.00473,20,2017-10-20,1290.9000
2017-11-20,previous+current,1278.52,1296.77,1274.46,1276.65,1283.00473,21,2017-10-20,1290.9000
2018-04-11,current+next,1339.54,1365.2,1333.71,1334.87,1345.77067,37,2018-02-16,1361.6900
2018-04-12,previous+current,1339.54,1365.2,1333.71,1334.87,1345.77067,38,2018-02-16,1361.6900
2019-07-18,current+next,1426.3,1452.92,1414.56,1424.96,1429.25188,17,2019-06-25,1439.2100
2019-07-19,previous+current,1426.3,1452.92,1414.56,1424.96,1429.25188,18,2019-06-25,1439.2100
2020-05-18,previous+current,1730.06,1765.08,1727.5,1732.2,1741.89314,17,2020-04-23,1738.7800
2021-12-27,current+next,1805.97,1820.18,1802.92,1806.13,1809.53058,20,2021-11-26,1815.5500
2021-12-28,previous+current,1805.97,1820.18,1802.92,1806.13,1809.53058,21,2021-11-26,1815.5500
