SignalDate,Strategy,Direction,Entry,Stop,Target,ExitDate,Exit,Result,R,ReturnPct,CumulativeR,CumulativeReturnPct,EquityCompounded,CompoundedReturnPct
2015-07-02,normal,long,1165.63,1155.98,1175.2800000000002,2015-07-07,1155.98,loss,-1.0,-1.0,-1.0,-1.0,0.99,-1.0000000000000009
2016-03-24,normal,long,1221.34,1208.15,1234.5299999999997,2016-03-28,1208.15,loss,-1.0,-1.0,-2.0,-2.0,0.9801,-1.9900000000000029
2016-03-28,normal,long,1221.34,1208.15,1234.5299999999997,2016-03-29,1234.5299999999997,win,1.0,1.0,-1.0,-1.0,0.989901,-1.009899999999997
2016-06-15,reverse,short,1278.75,1315.54,1241.96,2016-06-16,1315.54,loss,-1.0,-1.0,-2.0,-2.0,0.98000199,-1.999801000000001
2016-06-16,reverse,short,1278.75,1315.54,1241.96,2016-06-24,1315.54,loss,-1.0,-1.0,-3.0,-3.0,0.9702019701,-2.9798029900000023
2018-02-28,normal,long,1317.16,1302.76,1331.5600000000002,2018-03-01,1302.76,loss,-1.0,-1.0,-4.0,-4.0,0.9604999503989999,-3.9500049601000065
2021-01-11,normal,long,1844.45,1817.0,1871.9,2021-01-18,1817.0,loss,-1.0,-1.0,-5.0,-5.0,0.95089495089501,-4.910504910499003
2021-06-14,normal,long,1866.31,1844.77,1887.85,2021-06-16,1844.77,loss,-1.0,-1.0,-6.0,-6.0,0.9413860013860599,-5.861399861394013
2021-12-27,reverse,short,1806.13,1820.18,1792.0800000000002,2021-12-28,1820.18,loss,-1.0,-1.0,-7.0,-7.000000000000001,0.9319721413721993,-6.80278586278007
2021-12-28,reverse,short,1806.13,1820.18,1792.0800000000002,2021-12-29,1792.0800000000002,win,1.0,1.0,-6.0,-6.0,0.9412918627859213,-5.870813721407875
